Code;Libellé;3LETTRES;Nouvelle Référence GLE;Serialisation;GAMME;CATEGORIE;COLLECTION;NATURE;FAMILLE;Stock;Emplacement stock;Valeur unitaire;Total;Fabricant;Ref. fabricant;Fournisseur;Réf fournisseur;Dépréciation;Code barre;Unité;Poids net;Poids brut;Prix;Prix ttc;Code tva;Taux tva;Catégorie;Sous catégorie;Garantie;Nombre de colis
X000MN0PMB;Luxebell Câble USB C vers USB C en Nylon Tressé, Compatible avec GoPro5 New MacBook, Nexus 5X, OnePlus 3 et d'autres de Type C Périphériques Compatibles;CAB-;CAB-X000MN0PMB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;B4;5,99;11,98;;;;;;X000MN0PMB;;;;9;10,8;1;20;;;;
ATB-C35;Waste Toner Box, kompatibel;GEN-;GEN-ATB-C35;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;AMAZON;11;11;;;;;;4049816022055;;;;16,2;19,44;1;20;;;;
4907MN;Sachet de 10 manchons à boule RJ45 noir;GEN-;GEN-4907MN;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;9;I4;1,21;10,89;;;;;;4907MN;;;;1,81;2,172;1;20;;;;
2052042;Cordon Display Port 1.2 M vers HDMI 1.4 M - AWG30 - 3m;CAB-;CAB-2052042;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;;10,8;10,8;;;;;;;;;;13;15,6;1;20;;;;
S0610441;CÂBLE RJ45 CATÉGORIE 5E F/UTP 3 M (BEIGE);CAB-;CAB-S0610441;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;17;;0,62;10,54;;;;;;3700224718091;;;;4,16;4,992;1;20;;;;
DVI997YVGA;Cable Actif DVI vers VGA;CAB-;CAB-DVI997YVGA;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;;10,5;10,5;;;;;;;;;;14;16,8;1;20;;;;
920-002515;Clavier Logitech K120 USB;LOG-;LOG-920-002515;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;LOGITECH;;;1;;9,77;9,77;;;;;;;;;;17,58;21,096;1;20;;;;
2090059;Cordon USB 2.0 A-B M / M - AWG28/24 - Noir - 5 m;CAB-;CAB-2090059;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;4;L5;2,1;8,4;;;;;;3662247226246;;;;9;10,8;1;20;;;;
163/ATV/BAS/2;Mobilis Mobilities Antitheft Corporate - Câble de verrouillage - 1.8 m;MOB-;MOB-163/ATV/BAS/2;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MOBILIS;;;1;B1;8,27;8,27;;;;163/ATV/BAS/2;;;;;;12,46;14,952;1;20;;;;
BX-208U3;ADVANCE MOBILITY DISK S8 Boitier externe USB 3.0 en métal pour disque dur 2.5'' SATA;ADV-;ADV-BX-208U3;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;ADVANCE;;;1;C2;7,423;7,42;;;;;;;;;;14,08;16,896;1;20;;;;
82005;C2G Value Series High Speed HDMI Cable with Ethernet - Câble vidéo/audio/réseau;C2G-;C2G-82005;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;C2G;;;1;;7,37;7,37;;;TECH DATA;2365166;;;;;;10,82;12,984;1;20;Composants;;;
DP-MMG-050MB;MicroConnect Mini DP - Displayport 0.5m M-M 1.2v Black, gold plugs;CAB-;CAB-DP-MMG-050MB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MICRO CONNECT;;;1;I2;7;7;;;;;;5712505702031;;;;12,36;14,832;1;20;;;;
B000ZS9XEQ;Bulk CABLE-140HS Câble USB 2.0 A-A;CAB-;CAB-B000ZS9XEQ;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;I1;3,42;6,84;;;;;;X0004L1E6R;;;;5;6;1;20;;;;
2724571558538;Rankie Câble Adapteur HDMI vers DVI, Bidirectionnel, 1,8m, Noir;CAB-;CAB-2724571558538;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;;6,66;6,66;;;;;;;;;;15;18;1;20;;;;
2061580;Cordon audio stéréo Jack 3,5 M / 2 x RCA M - 10m - blindé;CAB-;CAB-2061580;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;;3,24;6,48;;;;;;;;;;5;6;1;20;;;;
B07HDMIDVI;Cable HDMI vers DVI;CAB-;CAB-B07HDMIDVI;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;;6,32;6,32;;;;;;X000PU75HJ;;;;9;10,8;1;20;;;;
910-001793;Logitech Mouse M90 Souris filaire - ambidextre - capteur optique 1000 dpi - 2 boutons;LOG-;LOG-910-001793;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;LOGITECH;;;1;;6,3;6,3;;;;;;;;;;8,29;9,948;1;20;;;;
S0640195;CORDON DISPLAYPORT MÂLE / HDMI MÂLE 3M;CAB-;CAB-S0640195;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;;6,26;6,26;;;;;;;;;;26,04;31,248;1;20;;;;
B00J0X4BF8;Newniu Câble et adaptateur VGA 5 m;CAB-;CAB-B00J0X4BF8;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;J4;3,05;6,1;;;;;;B00J0X4BF8;;;;7;8,4;1;20;;;;
B001FD7M4S;Cable avec fiche USB A màle ET fiche USB A màle - 5M - [PC];CAB-;CAB-B001FD7M4S;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;I3;5,825;5,83;;;;;;X0008JY75F;;;;7;8,4;1;20;;;;
1285718-62;Câble de raccordement Axing MAK 200-80 [1x F mâle - 1x F mâle] 2 m blanc;CAB-;CAB-1285718-62;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;A3;5,41;5,41;;;;;;7611682001150;;;;6,76;8,112;1;20;;;;
51824;HDMI CABLE WITH ETHERNET (10 M);CAB-;CAB-51824;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;;4,56;4,56;;;;;;4040849518249;;;;24,96;29,952;1;20;;;;
C5SG0300;Cordon RJ45 Cat 5e F/UTP Primacy 3m beige;CAB-;CAB-C5SG0300;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;I4;1,98;3,96;;;;;;C5SG0300;;;;3,92;4,704;1;20;;;;
S0610440;CÂBLE RJ45 CATÉGORIE 5E F/UTP 2 M (BEIGE);CAB-;CAB-S0610440;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;7;;0,52;3,64;;;;;;3700224718084;;;;3,7;4,44;1;20;;;;
C5SG0200;Cordon RJ45 Cat 5e F/UTP Primacy 2m beige;EDO-;EDO-C5SG0200;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;EDOX;;;1;I4;1,51;1,51;;;;;;C5SG0200;;;;3,02;3,624;1;20;;;;
FCC5EBM-0.5M;Cable MCL / CABLE BLINDE ETHERNET RJ45 CAT 5E F/UTP 0.5M;MCL-;MCL-FCC5EBM-0.5M;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MCL;;;2;I2;0,75;1,5;;;TECH DATA;1078498;;3700224705275;;;;1,44;1,728;1;20;Réseaux;;;
CVGP34000BK10;NEDIS CÂBLE HDMI HAUTE VITESSE AVEC ETHERNET NOIR (1 MÈTRE) Câble HDMI 4K haute vitesse avec Ethernet Noir - 1 mètre;NED-;NED-CVGP34000BK10;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NEDIS;;;1;I1;1,255;1,25;;;;;;5412810264513;;;;5,75;6,9;1;20;;;;
MC712-1.5M;Câble audio stéréo jack 3,5 mâle / mâle - 1.5m;MCL-;MCL-MC712-1.5M;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MCL;;;1;I3;1,1;1,1;;;;;;3700224735029;;;;1,57;1,884;1;20;;;;
CVGP34000BK15;Câble HDMI 4K haute vitesse avec Ethernet Noir - 1.5 mètre;NED-;NED-CVGP34000BK15;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NEDIS;;;1;B4;0,95;0,95;;;;;;;;;;9;10,8;1;20;;;;
C5SG0100;Cordon RJ45 Cat 5e F/UTP Primacy 1m beige;EDO-;EDO-C5SG0100;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;EDOX;;;1;I4;0,92;0,92;;;;;;C5SG0100;;;;1,82;2,184;1;20;;;;
VGP-BPS24;Batterie Sony VGP-BPS24 Lithium Polymer 4400 mAh Laptop;SON-;SON-VGP-BPS24;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;SONY;;;1;C3;;0;;;;;;VGP-BPS24;;;;;;1;20;;;;
VDI124/5;Cordons DVI D double voie 24b mâle/mâle;CAB-;CAB-VDI124/5;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;J4;;0;;;D3C;;;VDI124/5;;;;;;1;20;;;;
VD883SMA;Cordon VGA Haute Définition AWG26 mâle/mâle surmoulé;CAB-;CAB-VD883SMA;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;J4;;0;;;D3C;;;VD883SMA;;;;;;1;20;;;;
USR4506;US Robotic Copper;USR-;USR-USR4506;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;US ROBOTICS;;;1;D5;;0;;;;;;738168041459;;;;;;1;20;;;;
TVAC40630;Raccord TB NC Vidéo;CAB-;CAB-TVAC40630;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;7;B1;;0;;;;;;4043158022360;;;;;;1;20;;;;
TM-LCD;Vision TM-LCD support mural d'écran plat - Supports muraux d'écrans plats (50 kg, Aluminium);VIS;VISTM-LCD;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;;;3;AMAZON;;0;;;;;;1932374000005;;;;5,05;6,06;1;20;;;;
TC2VGAF3.5MM;VISION TechConnect - Plaque modulaire enclenchable - HD-15, fiche mini-phone Sté;VIS;VISTC2VGAF3.5MM;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;;;8;K2;;0;;;TECH DATA;1643902;;1643902000007;;;;11,97;14,364;1;20;Audio/Vidéo;;;
TC2USBB;VISION TechConnect - Plaque modulaire enclenchable - USB Type B;VIS;VISTC2USBB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;;;23;K2;;0;;;TECH DATA;1643919;;1643919000007;;;;8,33;9,996;1;20;Audio/Vidéo;;;
TC23MUSB;Vision Techconnect 2 - Câble USB - USB à 4 broches, type A (M) - USB à 4 broches;VIS;VISTC23MUSB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;;;41;I5;;0;;;TECH DATA;3004700;;3004700000008;;;;4,2;5,04;1;20;Composants;;;
TC2 USBB;VISION TECHCONNECT V2 MODULE USB B (À LAVANT) VERS BOOSTER ACTIF A;VIS;VISTC2 USBB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;;;47;K2;;0;;;;;;;;;;32;38,4;1;20;;;;
TBD206324F8;Comatec TBD206324F8 Transformateur rail Din 230 Vac/24 Vac/63 VA;COM-;COM-TBD206324F8;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;COMATEC;;;1;E2;;0;;;;;;TBD206324F8;;;;;;1;20;;;;
SOUOEM;Souris OEM;GEN-;GEN-SOUOEM;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;2;B3;;0;;;;SOUOEM;;FCGLH0D5D2OUAZ;;;;9;10,8;1;20;;;;
SLR40WI;VP Interactif SMART LightRaise 40wi;SMA-;SMA-SLR40WI;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;SMARTBOARD;;;1;C0;;0;;;;;;1016957;;;;1499;1798,8;1;20;;;;
SLC500-8E;Câble antivol V7 1,5m;V7-;V7-SLC500-8E;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;V7;;;1;B1;;0;;;INGRAM MICRO;J150842;;4038489014269;;;;19,99;23,988;1;20;Accessoires;;;
SLAT4640201002;Système d'alimentation SLAT-batterie-Chargeur-Redresseur;GEN-;GEN-SLAT4640201002;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;E1;;0;;;;;;SLAT4640201002;;;;3000;3600;1;20;;;;
SAB754;Support mural pour caméra;MES-;MES-SAB754;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MESSOA;VIDEO;;1;E3;;0;;;;SAB754;;SAB754;;;;90;108;1;20;;;;
RA0267A;[102557] RA0267A - Séquenceur Naocart S1 PCs démarrage progressif (suppression des pics de charge);NAO-;NAO-RA0267A;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;NAOSCART;;;1;;;0;;;;;;;;;;;;1;20;;;;
PTA3002;Support de table pour Ipad à fixer;VOG-;VOG-PTA3002;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VOGELS;;;2;B1;;0;;;DAM DISTRIBUTEUR VOGEL'S SCHNEPEL - iTRIO;PTA3002;;8712285321764;;;;96;115,2;1;20;Accessoires;;;
PSE481B;INJECTEUR POWER OVER ETHERNET 48W;GEN-;GEN-PSE481B;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;;;1;C2;;0;;;;;;PSE481B;;;;;;1;20;;;;
