Code;Libellé;STOCK À TRANSFÉRER SUR GLE;3LETTRES;Nouvelle Référence GLE;Serialisation;GAMME;CATEGORIE;COLLECTION;NATURE;FAMILLE;N° DE SÉRIE;Prix vente HT;Prix achat HT;Emplacement stock;Nom fournisseur;Code barre;
VS-2004L;NAS QNAP VS-2004L;2;QNA-;QNA-VS-2004L;NUFARTSTKSERIE;MATERIEL;PERIPHERIQUES;QNAP;DD RAID;0;Q12B10538,Q12B10535; 	320,00  € ; 	-      ;E2;;VS-2004L;
X000MN0PMB;Luxebell Câble USB C vers USB C en Nylon Tressé, Compatible avec GoPro5 New MacBook, Nexus 5X, OnePlus 3 et d'autres de Type C Périphériques Compatibles;2;CAB-;CAB-X000MN0PMB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	9,00  € ; 	9,00  € ;B4;AMAZON;X000MN0PMB;
KF09.012;K&F Concept TL2023 Trepied Ultraleger Trepied Appareil Photo en Aluminium avec Sac Transport Hauter Maximum: 152cm trepied pour Camera DSLR Canon Nikon Sony Fujifilm Panasonic lumix Max: 3kg;2;;;;;;;;;; 	49,00  € ; 	-      ;;AMAZON;;
JD377A/2;HP 5500-24G EI Switch - Commutateur - C4 - Géré - 24 x 10/100/1000;2;HEW-;HEW-JD377A/2;NUFARTSTKSERIE;MATERIEL;RESEAU;HEWLETT PACKARD;SWITCH;0;CN27B9V04F,CN27B9V02L; 	3 579,00  € ; 	-      ;C1;;JD377A/2;
F4N90AA;HP 15-in-1 USB2/3 3.5 Media Card Reader ;2;HEW-;HEW-F4N90AA;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;0;0;; 	33,00  € ; 	10,19  € ;C2 ;;888182142448;
503296-B21;HP - Alimentation - hotPlug  - 80 PLUS Gold - CA 100-240 V - 460 Watt ;2;HEW-;HEW-503296-B21;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;HEWLETT PACKARD;0;0;; 	180,00  € ; 	-      ;L1;;503296-B21;
SL400H;GIGASET SL400H - Argent (Bluetooth);2;SIE-;SIE-SL400H;NUFARTSTKSERIE;MATERIEL;TELEPHONE;SIEMENS;0;0;; 	99,00  € ; 	99,00  € ;D4;INTEGRASYS;;
D1MCC2M;Gigamedia GGM D1MCC2M;2;;;;;;;;;; 	-      ; 	-      ;L4;;3700575911325;
F2F202L9-03M;Fiber, LC/MTRJ, 3M, Duplex, 62.5/125;2;;;;;;;;;; 	20,37  € ; 	-      ;L3;;F2F202L9-03M;
B01580INY6;Extender HDMI 60 Mètres ESYNiC Extender HD Affichage Longue Distance de Transmission 1080P via Simple Câble Ethernet RJ45 CAT5e CAT6 CAT6a CAT7 Emetteur Récepteur Compatible pour 3D Contrôle Infrarouge IR pour Sky HD Box Freebox PC Blu Ray DVD PS4 Projecteur;2;GEN-;GEN-B01580INY6;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	36,00  € ; 	119,00  € ;K4;AMAZON;B01580INY6;
A03100H;Drum Unit, modified, black, in Neutral Box, 30.000 prints;2;KON-;KON-A03100H;NUFARTSTKSTD;CONSOMMABLES;CONSOMMABLES;KONICA;ACCESSOIRES;0;; 	126,72  € ; 	-      ;C3;;4049816011011;
DCCDC;Digital CCD Camera;2;GEN-;GEN-DCCDC;NUFARTSTKSERIE;MATERIEL;PERIPHERIQUES;GENERIQUE;VIDEO;0;; 	150,00  € ; 	-      ;C4;;DCCDC;
B00M6SXBUA;CSL - 10m Ultra HD 4k HDMI Câble | High Speed par Ethernet | Full HD 1080P / 4K Ultra HD 2160P / 3D / ARC et CEC | Câble Triple Blindage + Blindage Fiche et Contacts;1;CSL-;CSL-B00M6SXBUA;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;CSL;0;0;; 	14,99  € ; 	29,00  € ;J1;AMAZON;B00M6SXBUA;
314000;CORDON SATA POUR DISQUE DUR - 1.00 M;2;;;;;;;;;; 	-      ; 	-      ;;;3524890314001;
2061580;Cordon audio stéréo Jack 3,5 M / 2 x RCA M - 10m - blindé;2;CAB-;CAB-2061580;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	5,00  € ; 	5,00  € ;;NEKLAN;;
MV-100;Console pour climatiseur;2;GEN-;GEN-MV-100;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	32,50  € ; 	-      ;L2;;MV-100;
1304;Coffret cache-bornes - 4 modules - blanc RAL 9010;2;GEN-;GEN-1304;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	-      ; 	-      ;K3;;3245060013042;
