 ID;Code dŽp™t;Code article;Stock dŽp™t
ARDID;ArdGDepCode;ArdGArtCode;ArdStk
250;COM;GOP-RIDE;1
251;COM;GRI-GA23102FR;2
253;COM;GRI-GB36142;5
257;COM;GRI-GB40543;1
259;COM;GRI-GC10038FR;2
260;COM;GRI-GC17055FR;1
263;COM;HEN-HDSHDA01CLIQUEFR;2
265;COM;INC-INCIM241FR;1
266;COM;INC-IP871EUFR;5
268;COM;INC-IPH808FR;2
270;COM;JAB-HALO2MFI;1
271;COM;JBL-HRMJBLONAIRWBLKEU;1
272;COM;JBL-HRMJBLONBEATWHTEU;1
274;COM;KAN-KANAIRBLUEFR;1
275;COM;KAS-DONBLA13;1
276;COM;KAS-DONBLA15;1
277;COM;KAS-DONBLU13;1
278;COM;KAS-DONBLU15;1
280;COM;KAS-DONGRE15;1
282;COM;KEN-K39565EU;1
283;COM;KEN-K39567EU;1
287;COM;KNO-55-256-BRN;1
288;COM;KNO-55-257-BRN;1
289;COM;KNO-57-090-SAN;1
295;COM;LIF-3058366;1
296;COM;MAC-BSTANDM4-B;4
302;COM;MAC-IP-PH808-T4;3
303;COM;MAC-WIFISD;1
309;COM;MAR-MS-IPAD-CLR;1
310;COM;MAR-MW-MS-IPAD-BLK;2
311;COM;MAR-STANMORE;1
316;COM;MCA-MCAHKCOLOUDPREMIUM;1
317;COM;MCL-CG-292CZ;8
318;COM;MCL-CG-293CZ;5
320;COM;MEM-1490930;2
321;COM;MEM-2169588;2
322;COM;MIC-GZA-00286;4
324;COM;MOB-2913445;1
325;COM;MOB-3064758;4
326;COM;MOB-MO2212A;5
328;COM;MOS-99MO020970;2
329;COM;MOS-99MO020971;2
332;COM;MOS-99MO054003;1
344;COM;MOS-99MO079411;2
345;COM;MOS-99MO079501;1
347;COM;MOS-99MO080001;2
349;COM;MOS-99MO080411;4
351;COM;MOS-MTEL20001BLK;1
353;COM;MOS-MTIA50-003BLK;1
355;COM;MOX-IQUADRO;2
356;COM;MTA-JMTABLE;1
358;COM;MUV-MUCMPPSIPT4G001;1
359;COM;MUV-MUCUNHO002;1
360;COM;MUV-MUCUNPS080;1
361;COM;MUV-MUDKCIP4002;2
362;COM;MUV-MUSTKIP4003;2
363;COM;MUV-MUSTKIPAD001;1
364;COM;MUV-MUSTKIPAD007;1
365;COM;MYF-MUBMC0104;2
367;COM;NAG-3269941;4
369;COM;NAT-GRIPNATVIPAD;6
370;COM;NAT-GW-AIR2-GRY;5
373;COM;NOR-2107TB15;1
374;COM;OLI-OX-48773;3
376;COM;OTT-3031748;5
377;COM;OTT-3031750;6
379;COM;OTT-3205618;1
381;COM;OTT-3222547;5
382;COM;PAR-2937100;1
383;COM;PHI-SHB9100WHITE;1
384;COM;PNY-P-MEMEXP256U1-EF;2
387;COM;PUR-IPC64703BLUE;1
389;COM;ROX-HRMREF250OPFR;2
391;COM;SEE-0196-SJCLPAD2SGG;1
392;COM;SEN-HD238;2
393;COM;SON-SNYMDRV700DJCE7FR;1
397;COM;SPE-MB-A4124;2
398;COM;SPE-MB-A4125;2
409;COM;THU-TAIE4124K;1
411;COM;THU-TCBP317K;2
412;COM;THU-TGAE2253;2
413;COM;THU-TGAE2254;3
414;COM;THU-TGSE2253;1
416;COM;THU-TMPA113;1
417;COM;THU-TSBE2115;1
419;COM;TRA-3143930;1
424;COM;TUC-BFUSMB15RZFR;1
425;COM;TWE-121114-FR;1
426;COM;V7-V7CBP1-9E;2
